#RowID_	Lon_Calc	Lat_Calc	Z
140	-114.3946438	39.5461644	1735.585
141	-114.4371256	39.52913893	1735.752
142	-114.429357	39.5784489	1735.795
143	-114.4499203	39.56444928	1735.687
144	-114.4485035	39.54679013	1735.531
145	-114.4408544	39.53016222	1735.779
146	-114.4059178	39.57272788	1735.665
147	-114.4327063	39.52319685	1735.989
148	-114.4012591	39.57290534	1735.773
149	-114.3943222	39.54956061	1735.566
150	-114.4261213	39.57825254	1735.765
151	-114.4404194	39.57493046	1735.789
152	-114.4192967	39.56807534	1735.104
153	-114.4633089	39.48818336	1735.105
154	-114.4236612	39.52271889	1735.954
155	-114.4224081	39.5653863	1735.105
156	-114.4491978	39.55249463	1735.522
157	-114.45887	39.48509111	1735.105
158	-114.4930682	39.59456241	1735.105
159	-114.4431568	39.53256445	1735.734
160	-114.4369242	39.52617471	1735.104
161	-114.4187486	39.52460552	1735.856
162	-114.4324532	39.58214888	1736.026
163	-114.4065425	39.52560116	1735.94
164	-114.449137	39.56611216	1735.705
165	-114.3936996	39.54177531	1735.686
166	-114.4400489	39.57685564	1735.87
167	-114.4549016	39.54267276	1735.808
168	-114.4120688	39.58219644	1736.03
169	-114.4499002	39.54078757	1735.672
170	-114.4137104	39.58258695	1736.036
171	-114.4530554	39.54586538	1735.691
172	-114.4481571	39.53896262	1735.663
173	-114.4356003	39.52309508	1736.034
174	-114.4259113	39.58248796	1735.994
175	-114.3994485	39.57234406	1735.796
176	-114.4514478	39.55965657	1735.647
177	-114.399906	39.53034935	1735.863
178	-114.4468204	39.57152807	1735.809
179	-114.4251328	39.58469056	1736.125
180	-114.4064115	39.58445045	1735.105
181	-114.422194	39.58454028	1736.111
182	-114.4489861	39.56905506	1735.787
183	-114.3997411	39.53220737	1735.791
184	-114.4140086	39.52075776	1736.11
185	-114.4347215	39.57997428	1735.935
186	-114.436985	39.52446114	1735.981
187	-114.4531446	39.55252923	1735.654
188	-114.3911006	39.54445739	1735.728
189	-114.4428234	39.52853905	1735.895
190	-114.4509461	39.58493556	1735.104
191	-114.4273393	39.52043992	1736.104
192	-114.4303306	39.52132978	1736.072
193	-114.4011063	39.58032896	1736.126
194	-114.4282194	39.63795601	1735.104
195	-114.387636	39.55114488	1735.802
196	-114.444186	39.57408586	1735.84
197	-114.4382031	39.52401065	1736.027
198	-114.4521058	39.56867619	1735.876
199	-114.4206552	39.52062606	1736.079
200	-114.4100347	39.58556561	1736.264
201	-114.396425	39.53275491	1735.863
202	-114.4559815	39.54760484	1735.781
203	-114.4015686	39.52611984	1736.019
204	-114.4808423	39.5178301	1735.105
205	-114.4373594	39.58245478	1736.115
206	-114.4523588	39.53833215	1735.816
207	-114.3955701	39.53007873	1735.998
208	-114.4073871	39.58159051	1736.064
209	-114.42053	39.58632308	1736.228
210	-114.4355303	39.58247804	1736.087
211	-114.4263479	39.51442314	1736.505
212	-114.4512077	39.57069673	1735.914
213	-114.4091291	39.51815358	1736.337
214	-114.4396105	39.60559764	1735.105
215	-114.4482111	39.52897705	1736.02
216	-114.4449511	39.52385943	1736.186
217	-114.3912483	39.57321049	1736.086
218	-114.385633	39.55007788	1735.889
219	-114.4588058	39.51504924	1735.104
220	-114.3979137	39.60478611	1735.105
221	-114.3981879	39.5787579	1736.12
222	-114.4369503	39.51858166	1736.331
223	-114.4561617	39.53678828	1736
224	-114.3924822	39.57569876	1736.149
225	-114.430218	39.59057653	1736.559
226	-114.4200217	39.51240936	1736.651
227	-114.4562742	39.56283591	1735.878
228	-114.44368	39.58088635	1736.159
229	-114.4126065	39.58688406	1736.318
230	-114.4577694	39.5507113	1735.833
231	-114.4493603	39.5715962	1735.887
232	-114.4230469	39.58872895	1736.39
233	-114.4495555	39.57617131	1736.085
234	-114.4541029	39.5292568	1736.204
235	-114.4555797	39.56084398	1735.814
236	-114.4556388	39.53741911	1735.961
237	-114.4422849	39.58365618	1736.287
238	-114.4564128	39.55678095	1735.796
239	-114.405026	39.58527271	1736.33
240	-114.4415253	39.56061867	1735.105
241	-114.4284998	39.58851469	1736.397
242	-114.3957814	39.50335014	1735.104
243	-114.5017164	39.59431277	1735.104
244	-114.3867933	39.54563281	1735.879
245	-114.4231468	39.58863346	1736.384
246	-114.4178962	39.58752638	1736.318
247	-114.483941	39.56265089	1735.105
248	-114.4397588	39.58535789	1736.338
249	-114.4364376	39.58845333	1736.485
250	-114.4009565	39.52137492	1736.296
251	-114.3849035	39.56403304	1736.048
252	-114.4074095	39.51786025	1736.384
253	-114.4496925	39.5255899	1736.229
254	-114.4226075	39.51452003	1736.488
255	-114.4602189	39.5505707	1735.938
256	-114.4748601	39.62146907	1735.105
257	-114.4989056	39.55764917	1735.105
258	-114.4527472	39.53143428	1736.062
259	-114.4581179	39.54162668	1735.956
260	-114.4303657	39.59028385	1736.539
261	-114.4159783	39.51142141	1736.749
262	-114.3904958	39.57316113	1736.112
263	-114.3938032	39.529264	1736.09
264	-114.3929128	39.57731455	1736.211
265	-114.4605651	39.56370021	1736.075
266	-114.458323	39.53629621	1736.103
267	-114.4973947	39.60699076	1735.105
268	-114.4102273	39.51387097	1736.622
269	-114.4434016	39.50287614	1735.104
270	-114.4623099	39.55279017	1736.029
271	-114.4593905	39.56235237	1735.996
272	-114.3874308	39.53275298	1736.18
273	-114.4530713	39.52552942	1736.347
274	-114.4317556	39.51376745	1736.596
275	-114.4632408	39.53829658	1736.264
276	-114.4471411	39.58438857	1736.457
277	-114.3894708	39.5714708	1736.084
278	-114.4440552	39.58199994	1736.232
279	-114.4003319	39.5153061	1736.712
280	-114.3840985	39.54650448	1735.983
281	-114.457733	39.57010595	1736.136
282	-114.4443115	39.52011659	1736.389
283	-114.3878609	39.53384749	1736.123
284	-114.4692485	39.53871908	1735.105
285	-114.3981069	39.58484788	1736.47
286	-114.4407689	39.51522869	1736.634
287	-114.4653533	39.5496336	1736.182
288	-114.4240737	39.51236442	1736.653
289	-114.3927677	39.52366554	1736.406
290	-114.4376836	39.59195869	1736.764
291	-114.4570577	39.52805673	1736.372
292	-114.4009373	39.6081149	1735.104
293	-114.4507634	39.5818905	1736.42
294	-114.4170895	39.59334758	1736.753
295	-114.4545815	39.57918207	1735.105
296	-114.4191792	39.51287473	1736.618
297	-114.5150167	39.54850713	1735.104
298	-114.4492402	39.52583972	1735.104
299	-114.4543067	39.61039368	1735.105
300	-114.354607	39.57568951	1735.104
301	-114.3937192	39.52054719	1736.556
302	-114.4409367	39.5130281	1736.8
303	-114.4561581	39.57536039	1736.281
304	-114.4597232	39.53090839	1736.357
305	-114.3792815	39.54195794	1736.281
306	-114.4040727	39.5136759	1736.744
307	-114.4098561	39.51244189	1736.736
308	-114.4191922	39.50895999	1736.932
309	-114.4655133	39.55880476	1736.224
310	-114.4679269	39.54920683	1736.316
311	-114.4640664	39.55695978	1736.133
312	-114.4277548	39.59239336	1736.678
313	-114.4668399	39.56077089	1736.319
314	-114.4543311	39.52500997	1736.419
315	-114.3378277	39.55076319	1735.104
316	-114.4641459	39.54023361	1736.258
317	-114.466671	39.54556698	1736.286
318	-114.3837448	39.52601216	1736.637
319	-114.4347156	39.51097802	1736.849
320	-114.4027368	39.55464629	1735.105
321	-114.402297	39.59311528	1736.95
322	-114.3994275	39.51535092	1736.733
323	-114.4378148	39.51147082	1736.859
324	-114.4548139	39.52017191	1736.716
325	-114.4568515	39.57468884	1735.104
326	-114.3838162	39.53615849	1736.216
327	-114.4394048	39.59345147	1736.914
328	-114.3787723	39.5482388	1736.219
329	-114.4499185	39.51775607	1736.702
330	-114.3885586	39.58742727	1735.104
331	-114.4120826	39.50950779	1736.941
332	-114.4088394	39.59720034	1737.163
333	-114.4128434	39.59638769	1737.039
334	-114.4184555	39.59895367	1737.222
335	-114.3853213	39.57783889	1736.529
336	-114.3836605	39.5743055	1736.438
337	-114.3906209	39.58156552	1736.516
338	-114.4340802	39.59867364	1737.267
339	-114.4643395	39.56879126	1736.388
340	-114.4493534	39.58765289	1736.737
341	-114.4572146	39.48031858	1735.105
342	-114.3924356	39.5867735	1736.772
343	-114.4071214	39.50793644	1737.147
344	-114.4660146	39.56493651	1736.363
345	-114.4241605	39.59611847	1736.966
346	-114.3895958	39.59507784	1735.104
347	-114.4424185	39.59252776	1736.905
348	-114.4370951	39.51071314	1736.908
349	-114.3937079	39.51943549	1736.626
350	-114.4659688	39.53700967	1736.433
351	-114.4503902	39.59202351	1735.105
352	-114.4481305	39.51818909	1736.618
353	-114.4656663	39.54986557	1736.197
354	-114.429195	39.59692518	1737.06
355	-114.4492245	39.5897471	1736.88
356	-114.400183	39.50977681	1737.142
357	-114.3804493	39.57043173	1736.438
358	-114.389992	39.52380632	1736.498
359	-114.4218273	39.5062168	1737.164
360	-114.4292843	39.5252257	1735.105
361	-114.499669	39.57626946	1735.105
362	-114.4148634	39.50571614	1737.241
363	-114.4684275	39.5580266	1736.365
364	-114.4199016	39.59665591	1737.013
365	-114.4362939	39.5978177	1737.225
366	-114.4668595	39.54659863	1736.283
367	-114.4549022	39.51771582	1736.879
368	-114.4701769	39.55594102	1736.441
369	-114.3774398	39.55124911	1736.272
370	-114.411855	39.50631476	1737.219
371	-114.4660583	39.56457994	1736.356
372	-114.4479451	39.57829316	1735.104
373	-114.4422768	39.59693059	1737.264
374	-114.4606246	39.52341341	1736.763
375	-114.4077875	39.59497284	1736.991
376	-114.4641058	39.57142009	1736.467
377	-114.4700068	39.54999988	1736.425
378	-114.3848067	39.58056834	1736.693
379	-114.468359	39.53476205	1736.628
380	-114.3771708	39.55224514	1736.285
381	-114.385262	39.58317938	1736.822
382	-114.3885283	39.51434086	1737.163
383	-114.4455576	39.50749486	1737.363
384	-114.4198077	39.60289407	1737.588
385	-114.3820527	39.52636378	1736.696
386	-114.4458819	39.59408465	1737.116
387	-114.4323463	39.50545989	1737.29
388	-114.3770633	39.56499095	1736.446
389	-114.4421455	39.50881687	1737.166
390	-114.3741866	39.55554635	1736.455
391	-114.4417582	39.59479743	1737.072
392	-114.3796367	39.57421398	1736.623
393	-114.4069062	39.60023441	1737.467
394	-114.4265698	39.50948603	1735.104
395	-114.463434	39.58040863	1736.846
396	-114.4035752	39.50888983	1737.136
397	-114.3770291	39.53790621	1736.493
398	-114.4357761	39.50375172	1737.494
399	-114.4497019	39.51214134	1737.102
400	-114.4529058	39.51408117	1737.062
401	-114.3754118	39.53309762	1736.737
402	-114.3961661	39.51192842	1737.082
403	-114.4147527	39.5051857	1737.29
404	-114.42629	39.50196387	1737.57
405	-114.4539723	39.59298023	1737.286
406	-114.3870209	39.58886887	1737.121
407	-114.4078816	39.50549514	1737.35
408	-114.4130615	39.59782979	1737.162
409	-114.3781774	39.57929955	1736.938
410	-114.4263163	39.60289544	1737.593
411	-114.4044882	39.50605196	1737.363
412	-114.3778717	39.52786538	1735.104
413	-114.4763913	39.58040573	1735.105
414	-114.4016876	39.59713928	1737.298
415	-114.4079459	39.59427798	1735.104
416	-114.387967	39.586676	1736.932
417	-114.3790145	39.5716364	1736.552
418	-114.4694894	39.53607563	1736.647
419	-114.4685934	39.57083066	1736.674
420	-114.4690846	39.54097212	1736.493
421	-114.4598123	39.58840712	1737.179
422	-114.4716753	39.56296638	1736.623
423	-114.3968999	39.50914594	1737.285
424	-114.4100726	39.60220921	1737.604
425	-114.3964062	39.59244672	1737.055
426	-114.4041768	39.59387121	1735.104
427	-114.3734467	39.56100236	1736.56
428	-114.3779084	39.56925602	1736.524
429	-114.3299448	39.55012806	1735.104
430	-114.4615723	39.58657047	1737.131
431	-114.4644513	39.51848313	1737.24
432	-114.4465208	39.59889557	1737.545
433	-114.4649429	39.52517034	1736.869
434	-114.3743718	39.53752177	1736.647
435	-114.4227757	39.50113138	1737.643
436	-114.3721431	39.54602029	1736.601
437	-114.4495572	39.46379959	1735.104
438	-114.5091763	39.55014231	1735.104
439	-114.3699326	39.55434462	1736.697
