#state,X,Y,Z
LWA038,-2409181.604723982,-4477884.7492368575,3839372.540928498
LWA042,-2409190.122898048,-4477892.943203817,3839358.1684867283
LWA041,-2409204.8231619564,-4477883.7236967245,3839360.0171518237
LWA044,-2409194.0349267353,-4477903.228218196,3839343.963549055
LWA043,-2409202.0156694967,-4477895.717446896,3839347.9548478494
LWA046,-2409193.7883077147,-4477908.681386237,3839337.6840161015
LWA045,-2409205.8251543366,-4477900.389180832,3839340.002872574
LWA071,-2409213.7381235054,-4477883.227752508,3839355.0515053156
LWA047,-2409208.663007955,-4477904.579262896,3839333.297122056
LWA074,-2409211.942981695,-4477894.19229746,3839343.3522390337
LWA073,-2409211.6409727074,-4477887.99668799,3839350.7512045964
LWA077,-2409217.4819934666,-4477898.446654824,3839334.7231302336
LWA075,-2409222.876731043,-4477889.482252149,3839341.7459164984
LWA275,-2408785.0080565475,-4477695.29330635,3839841.5477492
LWA274,-2409088.5658174166,-4477905.687648162,3839407.115759334
LWA302,-2409741.2935516657,-4478068.141968353,3838810.449867762
LWA286,-2410209.4339333945,-4477331.56039898,3839367.3397702742
LWA363,-2409212.834064577,-4478250.339766282,3838927.7609383604
LWA323,-2409005.0513812755,-4477879.772575415,3839489.865406534
LWA013,-2409181.3940311717,-4477919.997450751,3839331.952487962
LWA016,-2409168.0661807754,-4477931.172377563,3839327.3463544184
LWA015,-2409162.2784238867,-4477934.223457911,3839327.8983064895
LWA014,-2409192.0495870197,-4477914.742212336,3839331.828809902
LWA018,-2409167.916882109,-4477936.349472411,3839321.573804392
LWA017,-2409183.5364408167,-4477927.231283207,3839322.2861278187
LWA020,-2409182.8376158,-4477934.721137785,3839314.2427953975
LWA019,-2409193.329954957,-4477927.699550079,3839315.688864422
LWA022,-2409193.9877441553,-4477933.007472092,3839309.063373343
LWA021,-2409163.5750723225,-4477948.376342401,3839311.486748222
LWA024,-2409200.00158027,-4477933.63206151,3839304.5251925844
LWA023,-2409178.901621801,-4477944.28045748,3839305.951822931
LWA026,-2409195.4826737205,-4477940.470787713,3839299.286766482
LWA025,-2409174.3542983155,-4477950.25345278,3839302.064548101
LWA029,-2409174.920989932,-4477961.433049687,3839287.8504244336
LWA027,-2409185.093944473,-4477946.463729901,3839299.463565606
LWA049,-2409209.915338727,-4477912.408249537,3839323.1160038244
LWA048,-2409214.990630642,-4477907.341753067,3839325.855219242
LWA051,-2409216.556764795,-4477912.65773362,3839318.8525500386
LWA050,-2409206.5645692716,-4477915.766887891,3839321.3465577834
LWA053,-2409212.2609956814,-4477920.268891662,3839312.6959064687
LWA052,-2409210.2237135665,-4477916.7557400605,3839317.887120647
LWA054,-2409215.921166595,-4477923.863273593,3839306.266806635
LWA080,-2409220.697016603,-4477906.823585117,3839323.1630717223
LWA084,-2409223.290400719,-4477917.309940873,3839309.5466079186
LWA055,-2409214.3982212306,-4477930.021729176,3839299.9160624887
LWA324,-2409002.501143456,-4478007.775130049,3839342.552169632
LWA262,-2409136.5796663016,-4478003.318080568,3839263.3713034485
LWA348,-2410348.840097112,-4477357.468187307,3839248.859877591
LWA331,-2408983.4410262485,-4477407.092808,3840053.638060637
LWA365,-2409600.796616608,-4478348.7946335925,3838603.082901026
LWA364,-2409400.5815776363,-4478196.364603387,3838872.5671641976
LWA030,-2409190.543065062,-4477954.861207202,3839285.6111624353
LWA028,-2409203.1096974364,-4477942.421058808,3839292.3393974784
LWA032,-2409207.614749691,-4477957.783207159,3839272.36155316
LWA031,-2409205.6534990845,-4477948.80128455,3839283.3951060213
LWA063,-2409235.676960508,-4477955.948537073,3839256.6317803715
LWA060,-2409219.3443301297,-4477945.933815454,3839278.1338985306
LWA057,-2409220.657227465,-4477932.411276837,3839292.866280139
LWA056,-2409223.00988519,-4477925.481675709,3839299.67588608
LWA059,-2409224.8585468554,-4477939.300415221,3839282.266186119
LWA058,-2409213.5296782795,-4477939.947721456,3839288.478588412
LWA062,-2409218.101970901,-4477954.352111269,3839269.2544446527
LWA061,-2409233.1309031663,-4477940.891612623,3839275.497731144
LWA085,-2409234.5742328307,-4477916.387897925,3839303.4492216
LWA064,-2409231.403894226,-4477958.535213392,3839256.281964409
LWA087,-2409241.053123566,-4477917.983553431,3839297.033387877
LWA086,-2409227.918850874,-4477921.917288435,3839301.0099005755
LWA089,-2409246.4883808447,-4477925.309810313,3839285.223847309
LWA096,-2409257.3125889483,-4477949.850557138,3839250.293111274
LWA091,-2409244.8332378925,-4477936.714498011,3839273.373249833
LWA090,-2409241.9840850444,-4477933.230226678,3839279.020624358
LWA093,-2409243.148624629,-4477948.409117755,3839260.940649317
LWA092,-2409241.660826453,-4477943.274319567,3839267.8334722538
LWA095,-2409249.5136519116,-4477951.508867428,3839253.117520117
LWA094,-2409255.4243402877,-4477942.325020072,3839260.287989146
LWA122,-2409246.430144613,-4477919.8238893105,3839291.40095648
LWA121,-2409249.02625356,-4477911.288299376,3839300.2168113007
LWA325,-2408616.7580594346,-4477594.46043622,3840065.2198308995
LWA316,-2410168.1033089296,-4477488.135677696,3839210.4460771843
LWA334,-2408816.940766996,-4477846.372084022,3839646.315497695
LWA328,-2409345.509559343,-4477117.103349634,3840164.5765533526
LWA361,-2409234.466564554,-4477999.564622073,3839206.6723353653
LWA358,-2409228.9228011733,-4478083.41643475,3839112.0018553897
LWA035,-2409189.38903936,-4477874.324181626,3839380.146477878
LWA033,-2409182.000610864,-4477860.630908217,3839401.0117363734
LWA034,-2409175.925567931,-4477876.621075472,3839385.7615444697
LWA036,-2409197.478752761,-4477871.071321789,3839379.0378622296
