#station,X,Y,Z
dsa-723,-2408383.641545076,-4479123.712417372,3838490.070513007
dsa-724,-2408370.587400714,-4479204.938930262,3838404.105724282
dsa-725,-2408234.7135884836,-4479060.320993575,3838656.340519518
dsa-726,-2410210.6260622344,-4478775.698372385,3837754.4448335925
dsa-727,-2410149.456785349,-4478923.59576316,3837621.2324691927
dsa-728,-2409827.1016584984,-4479083.47285945,3837636.9449353605
dsa-729,-2410011.2829502122,-4478990.756405304,3837629.5532590747
dsa-730,-2409686.299871277,-4479084.049874898,3837724.041608601
dsa-731,-2409490.7338169366,-4479519.393551045,3837341.5925160176
dsa-732,-2409429.3290759744,-4479582.617715573,3837306.621726895
dsa-733,-2409564.5750760944,-4479283.60756009,3837568.7259767465
dsa-734,-2409722.6842628503,-4479324.363950464,3837422.956007311
dsa-735,-2409458.422707541,-4479300.121586577,3837615.7616397687
dsa-736,-2409294.7144962014,-4479502.383663755,3837483.482218308
dsa-737,-2409295.6269119717,-4479522.580429745,3837459.515326092
dsa-738,-2409415.3913205448,-4479699.292501898,3837180.1405243403
dsa-739,-2409157.5923244874,-4479642.676900041,3837406.422617338
dsa-740,-2409139.5862300256,-4479907.258725993,3837111.1254796525
dsa-741,-2409153.7597094057,-4479385.942656756,3837706.240844301
dsa-742,-2408928.5479041673,-4479577.005023247,3837625.2730772253
dsa-743,-2408874.3889650297,-4479721.186907727,3837491.9954524618
dsa-744,-2408592.426837305,-4479727.003884634,3837661.0102228727
dsa-745,-2408660.2337413067,-4479627.1743538575,3837734.3980831592
dsa-746,-2408814.530825803,-4479701.538742435,3837552.069076933
dsa-747,-2408954.9748545303,-4479880.730624777,3837256.9312832784
dsa-1771,-2413806.9089747122,-4479510.241786016,3834661.8188030617
dsa-1772,-2414467.496903531,-4479569.872067176,3834180.976111774
dsa-1773,-2414548.1416045944,-4479282.475995761,3834463.659632849
dsa-1774,-2414797.6031403574,-4479475.799251577,3834084.1972546815
dsa-1775,-2414246.725656863,-4479872.7551984815,3833967.694929472
dsa-1776,-2414084.995540702,-4479669.332047411,3834304.173029499
dsa-1777,-2413743.765242392,-4479542.758809963,3834663.506507898
dsa-1778,-2413552.922337663,-4479837.2687582,3834441.2706867196
dsa-1820,-2414483.2527472335,-4478326.716925159,3835611.3631521356
dsa-2041,-2412080.111676196,-4473122.175364288,3843138.8139814935
dsa-2042,-2412088.8302933276,-4472898.975824461,3843391.958423148
dsa-2043,-2411993.6083028144,-4472596.674976988,3843801.5312334234
dsa-2044,-2412004.1306181117,-4472656.366100177,3843725.819639289
dsa-2045,-2411948.11319572,-4472544.721114947,3843890.078515848
dsa-2046,-2411339.0321514704,-4472845.365673153,3843921.4336104593
dsa-2047,-2411425.110530912,-4472469.045940959,3844303.7491657096
